NRIC,UserType
T0000001A,APPLICANT
T0000002A,APPLICANT
T0000003A,APPLICANT
T0000004A,APPLICANT
T0000005A,APPLICANT
T0000006A,APPLICANT
T0000007A,APPLICANT
T0000008A,APPLICANT
T0000009A,APPLICANT
T0000010A,APPLICANT
S0000001O,HDBOFFICER
S0000002O,HDBOFFICER
S0000003O,HDBOFFICER
S0000004O,HDBOFFICER
S0000005O,HDBOFFICER
S0000006O,HDBOFFICER
S0000007O,HDBOFFICER
S0000008O,HDBOFFICER
S0000009O,HDBOFFICER
S0000010O,HDBOFFICER
S0000001M,HDBMANAGER
S0000002M,HDBMANAGER
S0000003M,HDBMANAGER
S0000004M,HDBMANAGER
S0000005M,HDBMANAGER
S0000005M,HDBMANAGER
